Luni    ,08-10,sapt. 2,L339   ,231/2,Laborator,Programare pentru dispozitive mobile               ,LAZAR Ioan
Luni    ,12-14,       ,6/II   ,I3   ,Curs     ,Limbaje formale si tehnici de compilare            ,LUPSA Dana
Luni    ,14-16,       ,6/II   ,I3   ,Curs     ,Programare paralela si distribuita                 ,NICULESCU Virginia
Luni    ,16-18,sapt. 1,Goanga ,231  ,Seminar  ,Programare paralela si distribuita                 ,NICULESCU Virginia
Marti   ,08-10,       ,C335   ,I3   ,Curs     ,Metode inteligente de rezolvare a problemelor reale,DIOSAN Laura
Marti   ,10-12,sapt. 2,L338   ,231  ,Laborator,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Marti   ,10-12,sapt. 1,L402   ,231  ,Laborator,Metode inteligente de rezolvare a problemelor reale,DIOSAN Laura
Marti   ,12-14,       ,C335   ,I3   ,Curs     ,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Marti   ,14-16,       ,L439   ,231/1,Laborator,Programare paralela si distribuita                 ,MURSA Bogdan
Marti   ,16-18,       ,L002   ,I3   ,Seminar  ,Aplicatii ale geometriei in informatica            ,BLAGA Paul
Marti   ,16-18,       ,L439   ,231/2,Laborator,Programare paralela si distribuita                 ,MURSA Bogdan
Miercuri,14-16,       ,L001   ,231  ,Seminar  ,Limbaje formale si tehnici de compilare            ,POP Andreea
Miercuri,16-18,       ,7/I    ,I3   ,Curs     ,Aplicatii ale geometriei in informatica            ,BLAGA Paul
Joi     ,08-10,       ,C310   ,I3   ,Curs     ,Realitate virtuala                                 ,BOIAN Rares
Joi     ,08-10,       ,C335   ,I3   ,Curs     ,Interactiunea om-calculator                        ,GURAN Adriana
Joi     ,08-10,       ,C510   ,I3   ,Curs     ,Prelucrarea imaginilor                             ,PREJMEREAN Vasile
Joi     ,08-10,       ,L306   ,231/1,Laborator,Limbaje formale si tehnici de compilare            ,CIOBAN Vasile
Joi     ,08-10,       ,L534   ,I3   ,Curs     ,Aspecte pragmatice in programare                   ,LUPSA Radu
Joi     ,10-11,       ,A303   ,I3   ,Curs     ,Instruire asistata de calculator                   ,MAGDAS Ioana
Joi     ,10-12,       ,C335   ,I3   ,Curs     ,Securitate software                                ,SUCIU Mihai
Joi     ,10-12,       ,L343   ,231/2,Laborator,Limbaje formale si tehnici de compilare            ,CIOBAN Vasile
Joi     ,10-12,sapt. 2,L439   ,I3   ,Laborator,Aspecte pragmatice in programare                   ,LUPSA Radu
Joi     ,10-12,sapt. 1,L439   ,I3   ,Laborator,Prelucrarea imaginilor                             ,PREJMEREAN Vasile
Joi     ,11-12,       ,A303   ,I3   ,Seminar  ,Instruire asistata de calculator                   ,MAGDAS Ioana
Joi     ,12-14,       ,L338   ,231  ,Laborator,Securitate software                                ,LUNGANA-Niculescu Alexandru
Joi     ,12-14,sapt. 1,L439   ,231  ,Laborator,Interactiunea om-calculator                        ,GURAN Adriana
Joi     ,14-16,       ,C310   ,I3   ,Curs     ,Procesarea datelor audio-video                     ,STERCA Adrian
Joi     ,14-16,       ,C335   ,I3   ,Curs     ,Grafica pe calculator                              ,PREJMEREAN Vasile
Joi     ,16-18,sapt. 2,L301   ,231  ,Laborator,Procesarea datelor audio-video                     ,STERCA Adrian
Joi     ,16-18,sapt. 1,L320   ,I3   ,Laborator,Realitate virtuala                                 ,BOIAN Rares
Joi     ,16-18,sapt. 1,L439   ,231  ,Laborator,Grafica pe calculator                              ,PREJMEREAN Vasile
Vineri  ,08-10,sapt. 2,L302   ,231/1,Laborator,Programare pentru dispozitive mobile               ,LAZAR Ioan
Vineri  ,18-20,       ,2/I    ,I3   ,Curs     ,Programare pentru dispozitive mobile               ,LAZAR Ioan
Luni    ,16-18,sapt. 2,Goanga ,232  ,Seminar  ,Programare paralela si distribuita                 ,NICULESCU Virginia
Marti   ,10-12,sapt. 2,L402   ,232  ,Laborator,Metode inteligente de rezolvare a problemelor reale,DIOSAN Laura
Marti   ,14-16,sapt. 2,L338   ,232  ,Laborator,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Marti   ,16-18,       ,L343   ,232/2,Laborator,Programare paralela si distribuita                 ,Sima Ioan
Miercuri,10-12,sapt. 1,L321   ,232/1,Laborator,Programare pentru dispozitive mobile               ,BOTA Daniel
Miercuri,10-12,sapt. 2,L321   ,232/2,Laborator,Programare pentru dispozitive mobile               ,BOTA Daniel
Miercuri,12-14,       ,L339   ,232/1,Laborator,Limbaje formale si tehnici de compilare            ,MURESAN Horea
Miercuri,14-16,       ,L302   ,232/2,Laborator,Limbaje formale si tehnici de compilare            ,MURESAN Horea
Joi     ,10-12,sapt. 2,L338   ,232  ,Laborator,Interactiunea om-calculator                        ,GURAN Adriana
Joi     ,12-14,sapt. 1,L306   ,232  ,Laborator,Procesarea datelor audio-video                     ,STERCA Adrian
Joi     ,16-18,       ,L338   ,232  ,Laborator,Securitate software                                ,TICLE Daniel
Joi     ,18-20,sapt. 1,L336   ,232  ,Laborator,Grafica pe calculator                              ,PREJMEREAN Vasile
Vineri  ,08-10,       ,A311   ,232  ,Seminar  ,Limbaje formale si tehnici de compilare            ,POP Andreea
Vineri  ,12-14,       ,L306   ,232/1,Laborator,Programare paralela si distribuita                 ,MURSA Bogdan
Marti   ,10-12,sapt. 2,L338   ,233  ,Laborator,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Marti   ,10-12,sapt. 1,L402   ,233  ,Laborator,Metode inteligente de rezolvare a problemelor reale,DIOSAN Laura
Miercuri,12-14,       ,C510   ,233  ,Seminar  ,Limbaje formale si tehnici de compilare            ,POP Andreea
Miercuri,14-16,sapt. 1,C512   ,233  ,Seminar  ,Programare paralela si distribuita                 ,NICULESCU Virginia
Miercuri,16-18,       ,L302   ,233/1,Laborator,Programare paralela si distribuita                 ,Sima Ioan
Miercuri,18-20,       ,L321   ,233/2,Laborator,Programare paralela si distribuita                 ,Sima Ioan
Joi     ,12-14,sapt. 2,L439   ,233  ,Laborator,Interactiunea om-calculator                        ,GURAN Adriana
Joi     ,16-18,sapt. 2,L301   ,233  ,Laborator,Procesarea datelor audio-video                     ,STERCA Adrian
Joi     ,16-18,sapt. 2,L336   ,233  ,Laborator,Grafica pe calculator                              ,PREJMEREAN Vasile
Joi     ,18-20,       ,L338   ,233  ,Laborator,Securitate software                                ,TICLE Daniel
Vineri  ,08-10,sapt. 1,L001   ,233/1,Laborator,Programare pentru dispozitive mobile               ,BOTA Daniel
Vineri  ,08-10,sapt. 2,L001   ,233/2,Laborator,Programare pentru dispozitive mobile               ,BOTA Daniel
Vineri  ,12-14,       ,L002   ,233/1,Laborator,Limbaje formale si tehnici de compilare            ,ENESCU Alina
Vineri  ,12-14,       ,L339   ,233/2,Laborator,Limbaje formale si tehnici de compilare            ,CIOBAN Vasile
Marti   ,10-12,sapt. 2,L402   ,234  ,Laborator,Metode inteligente de rezolvare a problemelor reale,DIOSAN Laura
Marti   ,14-16,sapt. 2,L338   ,234  ,Laborator,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Marti   ,16-18,       ,L321   ,234/2,Laborator,Limbaje formale si tehnici de compilare            ,POP Andreea
Marti   ,18-20,       ,L001   ,234/2,Laborator,Programare paralela si distribuita                 ,Sima Ioan
Miercuri,08-10,       ,L002   ,234/1,Laborator,Programare paralela si distribuita                 ,Sima Ioan
Miercuri,14-16,sapt. 2,C512   ,234  ,Seminar  ,Programare paralela si distribuita                 ,NICULESCU Virginia
Miercuri,16-18,       ,L336   ,234/1,Laborator,Limbaje formale si tehnici de compilare            ,POP Andreea
Joi     ,12-14,       ,L338   ,234  ,Laborator,Securitate software                                ,LUNGANA-Niculescu Alexandru
Joi     ,16-18,sapt. 2,L301   ,234  ,Laborator,Procesarea datelor audio-video                     ,STERCA Adrian
Joi     ,16-18,sapt. 2,L336   ,234  ,Laborator,Grafica pe calculator                              ,PREJMEREAN Vasile
Vineri  ,09-10,       ,MOS-S15,234  ,Laborator,Interactiunea om-calculator                        ,GURAN Adriana
Vineri  ,10-12,       ,A313   ,234  ,Seminar  ,Limbaje formale si tehnici de compilare            ,POP Andreea
Vineri  ,12-14,sapt. 1,L439   ,234/1,Laborator,Programare pentru dispozitive mobile               ,BOTA Daniel
Vineri  ,12-14,sapt. 2,L439   ,234/2,Laborator,Programare pentru dispozitive mobile               ,BOTA Daniel
Luni    ,08-10,sapt. 1,L339   ,235/2,Laborator,Programare pentru dispozitive mobile               ,LAZAR Ioan
Marti   ,10-12,sapt. 2,L338   ,235  ,Laborator,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Marti   ,10-12,sapt. 1,L402   ,235  ,Laborator,Metode inteligente de rezolvare a problemelor reale,DIOSAN Laura
Miercuri,16-18,sapt. 1,C512   ,235  ,Seminar  ,Programare paralela si distribuita                 ,NICULESCU Virginia
Miercuri,18-20,       ,C310   ,235  ,Seminar  ,Limbaje formale si tehnici de compilare            ,POP Andreea
Joi     ,12-14,sapt. 1,L306   ,235  ,Laborator,Procesarea datelor audio-video                     ,STERCA Adrian
Joi     ,12-14,sapt. 2,L439   ,235  ,Laborator,Interactiunea om-calculator                        ,GURAN Adriana
Joi     ,14-16,       ,L302   ,235/1,Laborator,Limbaje formale si tehnici de compilare            ,POP Andreea
Joi     ,16-18,       ,L338   ,235  ,Laborator,Securitate software                                ,TICLE Daniel
Joi     ,18-20,sapt. 1,L336   ,235  ,Laborator,Grafica pe calculator                              ,PREJMEREAN Vasile
Vineri  ,08-10,sapt. 1,L302   ,235/1,Laborator,Programare pentru dispozitive mobile               ,LAZAR Ioan
Vineri  ,08-10,       ,L306   ,235/2,Laborator,Programare paralela si distribuita                 ,MURSA Bogdan
Vineri  ,10-12,       ,L306   ,235/1,Laborator,Programare paralela si distribuita                 ,MURSA Bogdan
Vineri  ,10-12,       ,L336   ,235/2,Laborator,Limbaje formale si tehnici de compilare            ,CIOBAN Vasile
Luni    ,16-18,       ,A312   ,236  ,Seminar  ,Limbaje formale si tehnici de compilare            ,POP Andreea
Marti   ,10-12,sapt. 2,L402   ,236  ,Laborator,Metode inteligente de rezolvare a problemelor reale,DIOSAN Laura
Marti   ,14-16,sapt. 2,L338   ,236  ,Laborator,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Miercuri,12-14,sapt. 1,L001   ,236/1,Laborator,Programare pentru dispozitive mobile               ,BOTA Daniel
Miercuri,12-14,sapt. 2,L001   ,236/2,Laborator,Programare pentru dispozitive mobile               ,BOTA Daniel
Miercuri,14-16,       ,L002   ,236/2,Laborator,Programare paralela si distribuita                 ,Sima Ioan
Miercuri,16-18,sapt. 2,C512   ,236  ,Seminar  ,Programare paralela si distribuita                 ,NICULESCU Virginia
Joi     ,12-14,sapt. 1,L306   ,236  ,Laborator,Procesarea datelor audio-video                     ,STERCA Adrian
Joi     ,12-14,       ,L343   ,236/1,Laborator,Limbaje formale si tehnici de compilare            ,POP Andreea
Joi     ,16-18,sapt. 1,L439   ,236  ,Laborator,Grafica pe calculator                              ,PREJMEREAN Vasile
Joi     ,18-20,       ,L338   ,236  ,Laborator,Securitate software                                ,TICLE Daniel
Vineri  ,09-10,       ,MOS-S15,236  ,Laborator,Interactiunea om-calculator                        ,GURAN Adriana
Vineri  ,14-16,       ,L306   ,236/1,Laborator,Programare paralela si distribuita                 ,MURSA Bogdan
Vineri  ,14-16,       ,L307   ,236/2,Laborator,Limbaje formale si tehnici de compilare            ,ENESCU Alina
Luni    ,18-20,       ,6/II   ,237  ,Seminar  ,Limbaje formale si tehnici de compilare            ,POP Andreea
Marti   ,10-12,sapt. 2,L338   ,237  ,Laborator,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Marti   ,10-12,sapt. 1,L402   ,237  ,Laborator,Metode inteligente de rezolvare a problemelor reale,DIOSAN Laura
Marti   ,14-16,       ,L321   ,237/2,Laborator,Programare paralela si distribuita                 ,Sima Ioan
Miercuri,12-14,       ,L402   ,237/1,Laborator,Programare paralela si distribuita                 ,Sima Ioan
Miercuri,18-20,sapt. 2,C512   ,237  ,Seminar  ,Programare paralela si distribuita                 ,NICULESCU Virginia
Joi     ,10-12,       ,L002   ,237/1,Laborator,Limbaje formale si tehnici de compilare            ,POP Andreea
Joi     ,12-14,sapt. 1,L439   ,237  ,Laborator,Interactiunea om-calculator                        ,GURAN Adriana
Joi     ,16-18,sapt. 2,L301   ,237  ,Laborator,Procesarea datelor audio-video                     ,STERCA Adrian
Joi     ,16-18,sapt. 1,L439   ,237  ,Laborator,Grafica pe calculator                              ,PREJMEREAN Vasile
Joi     ,18-20,       ,L338   ,237  ,Laborator,Securitate software                                ,TICLE Daniel
Vineri  ,08-10,       ,L002   ,237/2,Laborator,Limbaje formale si tehnici de compilare            ,ENESCU Alina
Vineri  ,10-12,sapt. 1,L001   ,237/1,Laborator,Programare pentru dispozitive mobile               ,BOTA Daniel
Vineri  ,10-12,sapt. 2,L001   ,237/2,Laborator,Programare pentru dispozitive mobile               ,BOTA Daniel
Luni    ,08-10,       ,A312   ,931  ,Seminar  ,Limbaje formale si tehnici de compilare            ,TIRBAN Paul
Luni    ,10-12,       ,2/I    ,IE3  ,Curs     ,Limbaje formale si tehnici de compilare            ,MOTOGNA Simona
Marti   ,08-10,       ,C335   ,IE3  ,Curs     ,Metode inteligente de rezolvare a problemelor reale,DIOSAN Laura
Marti   ,10-12,sapt. 1,L338   ,931  ,Laborator,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Marti   ,12-14,       ,C335   ,IE3  ,Curs     ,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Marti   ,12-14,sapt. 1,L402   ,IE3  ,Laborator,Metode inteligente de rezolvare a problemelor reale,DIOSAN Laura
Miercuri,08-10,       ,L320   ,931/1,Laborator,Limbaje formale si tehnici de compilare            ,GURAN Adriana
Miercuri,08-10,sapt. 1,L338   ,931/2,Laborator,Programare pentru dispozitive mobile               ,COJOCAR Dan
Miercuri,10-12,       ,L320   ,931/2,Laborator,Limbaje formale si tehnici de compilare            ,GURAN Adriana
Miercuri,10-12,sapt. 1,L439   ,931/1,Laborator,Programare pentru dispozitive mobile               ,COJOCAR Dan
Miercuri,14-16,       ,C335   ,IE3  ,Curs     ,Programare pentru dispozitive mobile               ,COJOCAR Dan
Joi     ,08-10,       ,C310   ,IE3  ,Curs     ,Realitate virtuala                                 ,BOIAN Rares
Joi     ,08-10,       ,C335   ,IE3  ,Curs     ,Interactiunea om-calculator                        ,GURAN Adriana
Joi     ,08-10,       ,C510   ,IE3  ,Curs     ,Prelucrarea imaginilor                             ,PREJMEREAN Vasile
Joi     ,08-10,       ,L338   ,IE3  ,Laborator,Securitate software                                ,LUNGANA-Niculescu Alexandru
Joi     ,08-10,       ,L534   ,IE3  ,Curs     ,Aspecte pragmatice in programare                   ,LUPSA Radu
Joi     ,10-11,       ,A303   ,IE3  ,Curs     ,Instruire asistata de calculator                   ,MAGDAS Ioana
Joi     ,10-12,       ,C335   ,IE3  ,Curs     ,Securitate software                                ,SUCIU Mihai
Joi     ,10-12,sapt. 1,L001   ,IE3  ,Laborator,Aspecte pragmatice in programare                   ,LUPSA Radu
Joi     ,10-12,sapt. 1,L336   ,931  ,Laborator,Realitate virtuala                                 ,BOIAN Rares
Joi     ,10-12,sapt. 1,L338   ,IE3  ,Laborator,Interactiunea om-calculator                        ,GURAN Adriana
Joi     ,10-12,sapt. 1,L439   ,IE3  ,Laborator,Prelucrarea imaginilor                             ,PREJMEREAN Vasile
Joi     ,11-12,       ,A303   ,IE3  ,Seminar  ,Instruire asistata de calculator                   ,MAGDAS Ioana
Joi     ,12-14,sapt. 2,L306   ,931  ,Laborator,Procesarea datelor audio-video                     ,STERCA Adrian
Joi     ,14-16,       ,C310   ,IE3  ,Curs     ,Procesarea datelor audio-video                     ,STERCA Adrian
Joi     ,14-16,       ,C335   ,IE3  ,Curs     ,Grafica pe calculator                              ,PREJMEREAN Vasile
Joi     ,14-16,sapt. 1,L338   ,931  ,Laborator,Criptografie cu cheie publica                      ,Zecua G
Joi     ,16-18,       ,C335   ,IE3  ,Curs     ,Criptografie cu cheie publica                      ,CRIVEI Septimiu
Joi     ,18-20,sapt. 1,L336   ,IE3  ,Laborator,Grafica pe calculator                              ,PREJMEREAN Vasile
Vineri  ,08-10,       ,C335   ,IE3  ,Curs     ,Programare paralela si distribuita                 ,LUPSA Radu
Vineri  ,10-12,sapt. 1,L534   ,931  ,Seminar  ,Programare paralela si distribuita                 ,LUPSA Radu
Vineri  ,12-14,       ,L308   ,931/1,Laborator,Programare paralela si distribuita                 ,ROSIAN Adrian
Vineri  ,16-18,       ,L308   ,931/2,Laborator,Programare paralela si distribuita                 ,ROSIAN Adrian
Marti   ,10-12,       ,C512   ,932  ,Seminar  ,Limbaje formale si tehnici de compilare            ,PETRASCU Vladiela
Marti   ,14-16,sapt. 1,L338   ,932  ,Laborator,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Miercuri,08-10,sapt. 2,L338   ,932/1,Laborator,Programare pentru dispozitive mobile               ,COJOCAR Dan
Miercuri,10-12,sapt. 2,L439   ,932/2,Laborator,Programare pentru dispozitive mobile               ,COJOCAR Dan
Joi     ,10-12,sapt. 2,L001   ,932  ,Laborator,Procesarea datelor audio-video                     ,STERCA Adrian
Joi     ,12-14,sapt. 1,L302   ,932  ,Laborator,Realitate virtuala                                 ,BOIAN Rares
Joi     ,14-16,sapt. 2,L338   ,932  ,Laborator,Criptografie cu cheie publica                      ,Zecua G
Vineri  ,10-12,sapt. 2,L534   ,932  ,Seminar  ,Programare paralela si distribuita                 ,LUPSA Radu
Vineri  ,12-14,       ,L336   ,932/1,Laborator,Limbaje formale si tehnici de compilare            ,GURAN Adriana
Vineri  ,14-16,       ,L308   ,932/1,Laborator,Programare paralela si distribuita                 ,ROSIAN Adrian
Vineri  ,14-16,       ,L339   ,932/2,Laborator,Limbaje formale si tehnici de compilare            ,GURAN Adriana
Vineri  ,18-20,       ,L002   ,932/2,Laborator,Programare paralela si distribuita                 ,ROSIAN Adrian
Marti   ,10-12,sapt. 1,L338   ,933  ,Laborator,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Marti   ,14-16,       ,C514   ,933  ,Seminar  ,Limbaje formale si tehnici de compilare            ,PETRASCU Vladiela
Miercuri,10-12,       ,L002   ,933/2,Laborator,Programare paralela si distribuita                 ,GHEORGHICA Radu
Miercuri,12-14,       ,L336   ,933/2,Laborator,Limbaje formale si tehnici de compilare            ,TIRBAN Paul
Miercuri,16-18,sapt. 1,L402   ,933/1,Laborator,Programare pentru dispozitive mobile               ,COJOCAR Dan
Miercuri,16-18,sapt. 2,L402   ,933/2,Laborator,Programare pentru dispozitive mobile               ,COJOCAR Dan
Miercuri,18-20,       ,L002   ,933/1,Laborator,Limbaje formale si tehnici de compilare            ,CIUBANCAN Dana
Joi     ,10-12,sapt. 2,L336   ,933  ,Laborator,Realitate virtuala                                 ,BOIAN Rares
Joi     ,12-14,sapt. 2,L306   ,933  ,Laborator,Procesarea datelor audio-video                     ,STERCA Adrian
Joi     ,18-20,sapt. 2,L336   ,933  ,Laborator,Criptografie cu cheie publica                      ,Zecua G
Vineri  ,12-14,sapt. 1,L001   ,933  ,Seminar  ,Programare paralela si distribuita                 ,LUPSA Radu
Vineri  ,18-20,       ,L308   ,933/1,Laborator,Programare paralela si distribuita                 ,SZEDERJESI-DRAGOMIR Arnold
Marti   ,10-12,       ,L002   ,934/2,Laborator,Programare paralela si distribuita                 ,GHEORGHICA Radu
Marti   ,14-16,sapt. 1,L338   ,934  ,Laborator,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Marti   ,16-18,       ,L308   ,934/1,Laborator,Programare paralela si distribuita                 ,GHEORGHICA Radu
Miercuri,08-10,       ,A321   ,934  ,Seminar  ,Limbaje formale si tehnici de compilare            ,TIRBAN Paul
Miercuri,10-12,sapt. 2,A311   ,934  ,Seminar  ,Programare paralela si distribuita                 ,LUPSA Radu
Miercuri,16-18,       ,L306   ,934/2,Laborator,Limbaje formale si tehnici de compilare            ,CIUBANCAN Dana
Miercuri,16-18,       ,L321   ,934/1,Laborator,Limbaje formale si tehnici de compilare            ,MIRCEA Ioan Gabriel
Miercuri,18-20,sapt. 1,L343   ,934/1,Laborator,Programare pentru dispozitive mobile               ,COJOCAR Dan
Miercuri,18-20,sapt. 2,L343   ,934/2,Laborator,Programare pentru dispozitive mobile               ,COJOCAR Dan
Joi     ,10-12,sapt. 2,L001   ,934  ,Laborator,Procesarea datelor audio-video                     ,STERCA Adrian
Joi     ,12-14,sapt. 2,L302   ,934  ,Laborator,Realitate virtuala                                 ,BOIAN Rares
Joi     ,14-16,sapt. 1,L338   ,934  ,Laborator,Criptografie cu cheie publica                      ,Zecua G
Luni    ,14-16,       ,C514   ,935  ,Seminar  ,Limbaje formale si tehnici de compilare            ,PETRASCU Vladiela
Marti   ,10-12,sapt. 1,L338   ,935  ,Laborator,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Marti   ,14-16,       ,L002   ,935/1,Laborator,Programare paralela si distribuita                 ,GHEORGHICA Radu
Marti   ,16-18,       ,L302   ,935/2,Laborator,Limbaje formale si tehnici de compilare            ,MOTOGNA Simona
Marti   ,18-20,       ,L439   ,935/2,Laborator,Programare paralela si distribuita                 ,GHEORGHICA Radu
Miercuri,10-12,sapt. 1,A311   ,935  ,Seminar  ,Programare paralela si distribuita                 ,LUPSA Radu
Miercuri,18-20,sapt. 2,L336   ,935/1,Laborator,Programare pentru dispozitive mobile               ,KIRNER Erhard
Miercuri,18-20,sapt. 1,L336   ,935/2,Laborator,Programare pentru dispozitive mobile               ,KIRNER Erhard
Joi     ,10-12,sapt. 2,L001   ,935  ,Laborator,Procesarea datelor audio-video                     ,STERCA Adrian
Joi     ,10-12,sapt. 1,L336   ,935  ,Laborator,Realitate virtuala                                 ,BOIAN Rares
Joi     ,12-14,       ,L534   ,935/1,Laborator,Limbaje formale si tehnici de compilare            ,PETRASCU Vladiela
Joi     ,18-20,sapt. 1,L001   ,935  ,Laborator,Criptografie cu cheie publica                      ,Zecua G
Luni    ,16-18,sapt. 2,L439   ,936/1,Laborator,Programare pentru dispozitive mobile               ,BARABAS Attila
Luni    ,16-18,sapt. 1,L439   ,936/2,Laborator,Programare pentru dispozitive mobile               ,BARABAS Attila
Luni    ,18-20,sapt. 2,L336   ,936  ,Laborator,Criptografie cu cheie publica                      ,Zecua G
Marti   ,10-12,       ,L336   ,936/1,Laborator,Limbaje formale si tehnici de compilare            ,TIRBAN Paul
Marti   ,14-16,sapt. 1,L338   ,936  ,Laborator,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Marti   ,18-20,       ,L339   ,936/2,Laborator,Limbaje formale si tehnici de compilare            ,MOTOGNA Simona
Miercuri,08-10,sapt. 2,A311   ,936  ,Seminar  ,Programare paralela si distribuita                 ,LUPSA Radu
Miercuri,10-12,       ,A321   ,936  ,Seminar  ,Limbaje formale si tehnici de compilare            ,TIRBAN Paul
Miercuri,18-20,       ,L534   ,936/1,Laborator,Programare paralela si distribuita                 ,GHEORGHICA Radu
Joi     ,10-12,sapt. 2,L336   ,936  ,Laborator,Realitate virtuala                                 ,BOIAN Rares
Joi     ,12-14,sapt. 2,L306   ,936  ,Laborator,Procesarea datelor audio-video                     ,STERCA Adrian
Vineri  ,16-18,       ,L339   ,936/2,Laborator,Programare paralela si distribuita                 ,SZEDERJESI-DRAGOMIR Arnold
Luni    ,18-20,sapt. 2,L306   ,937/1,Laborator,Programare pentru dispozitive mobile               ,BARABAS Attila
Luni    ,18-20,sapt. 1,L336   ,937/2,Laborator,Programare pentru dispozitive mobile               ,BARABAS Attila
Marti   ,10-12,sapt. 1,L338   ,937  ,Laborator,Automatizarea proceselor de business               ,CHISALITA-CRETU Camelia
Marti   ,12-14,       ,L301   ,937/1,Laborator,Limbaje formale si tehnici de compilare            ,PETRASCU Vladiela
Miercuri,10-12,       ,C510   ,937  ,Seminar  ,Limbaje formale si tehnici de compilare            ,PETRASCU Vladiela
Miercuri,12-14,       ,L002   ,937/2,Laborator,Programare paralela si distribuita                 ,GHEORGHICA Radu
Miercuri,16-18,       ,L002   ,937/1,Laborator,Programare paralela si distribuita                 ,GHEORGHICA Radu
Joi     ,10-12,sapt. 2,L001   ,937  ,Laborator,Procesarea datelor audio-video                     ,STERCA Adrian
Joi     ,12-14,sapt. 1,L302   ,937  ,Laborator,Realitate virtuala                                 ,BOIAN Rares
Joi     ,14-16,       ,L301   ,937/2,Laborator,Limbaje formale si tehnici de compilare            ,PETRASCU Vladiela
Joi     ,18-20,sapt. 2,L336   ,937  ,Laborator,Criptografie cu cheie publica                      ,Zecua G
Vineri  ,12-14,sapt. 2,L001   ,937  ,Seminar  ,Programare paralela si distribuita                 ,LUPSA Radu
